NIVEL	CODIGO	DESTINO	POP ATENDIDA	Physicians	Nurses	OtherCadres	CommunityBased	MRIUnit	Mammography	Radiotherapy
1	6454724.00	0.00	313292.00	40.73	197.37	112.78	109.65	0.00	0.00	0.00
1	3015689.00	0.00	1634840.00	212.53	1029.95	588.54	572.19	0.00	0.00	0.00
1	3013657.00	0.00	2556045.00	332.29	1610.31	920.18	894.61	0.00	0.00	0.00
1	3007102.00	0.00	4317160.00	561.23	2719.81	1554.18	1511.00	0.00	0.00	0.00
1	6446140.00	0.00	1176314.00	152.92	741.08	423.47	411.71	0.00	0.00	0.00
1	6443983.00	0.00	166045.00	21.59	104.61	59.78	58.12	0.00	0.00	0.00
1	3023389.00	0.00	527261.00	68.54	332.17	189.81	184.54	0.00	0.00	0.00
1	3035419.00	0.00	42323.00	5.50	26.66	15.24	14.81	0.00	0.00	0.00
1	6451175.00	0.00	36702.00	4.77	23.12	13.21	12.85	0.00	0.00	0.00
1	6454716.00	0.00	32651.00	4.24	20.57	11.75	11.43	0.00	0.00	0.00
1	3030085.00	0.00	48037.00	6.24	30.26	17.29	16.81	0.00	0.00	0.00
1	3036902.00	0.00	177981.00	23.14	112.13	64.07	62.29	0.00	0.00	0.00
1	2994131.00	0.00	19006.00	2.47	11.97	6.84	6.65	0.00	0.00	0.00
1	6443599.00	0.00	45207.00	5.88	28.48	16.27	15.82	0.00	0.00	0.00
1	2973069.00	0.00	327054.00	42.52	206.04	117.74	114.47	0.00	0.00	0.00
1	2974717.00	0.00	77254.00	10.04	48.67	27.81	27.04	0.00	0.00	0.00
1	2989432.00	0.00	59202.00	7.70	37.30	21.31	20.72	0.00	0.00	0.00
