# ======================================================
# Model: Hierarchical health care design : 3 levels (brown field)
# Joao Flavio F. Almeida <joao.flavio@dep.ufmg.br >
# Fabricio Oliveira <fabricio.oliveira@aalto.fi >
# Data   : 19/02/2022
# Versao: 1.0:
# Region: 10: Normandie (NO)
# =========================================================
data;

# param Distmax:=
# 1 80  # 80
# 2 120 # + 120
# 3 250; # + 200

# Minimal population on destination municipality (j) 
param POPmin:=
1	0
# 2	7000
# 3	20000
# 2	2000
# 3	4000
2	1262	# Q1
3	1771	# Q2 
;

param DurUpper:=
1 0.51 
# 2 1.4 
# 3 2.3; 
2 0.9 
3 1.1;

# Municipios selecionados que já possuem infraestrutura de nível 3
set S3:=
6427109	#	'Caen': Centre Hospitalier Universitaire de Caen
6484156	#	'Rouen' : Rouen University Hospital
;


# CODIGO	REGIAO (code)	LAT	LONG	POPULACAO 2030	INFR	MUNICIPIO	
 param: I :	RE	lat	lng	POP	INFR	Mun 	:=
6484156	10	49.4428	1.08860	494382	0	'Rouen'	
3002964	10	49.49	0.10000	235218	0	'Le Havre'	
6427109	10	49.18	-0.37000	105354	0	'Caen'	
3231149	10	49.6333	-1.60000	60991	1	'Cherbourg'	
3019265	10	49.02	1.15000	47733	0	'Évreux'	
3021411	10	49.92	1.08000	29080	0	'Dieppe'	
2974153	10	49.4092	1.09000	28965	0	'Sotteville-lès-Rouen'	
2980236	10	49.3786	1.10500	28641	0	'Saint-Étienne-du-Rouvray'	
6452432	10	48.4306	0.09310	25848	0	'Alençon'	
6456448	10	49.4072	1.05310	25698	1	'Le Grand-Quevilly'	
6453910	10	49.09	1.49000	23872	0	'Vernon'	
6427260	10	49.2044	-0.32530	22954	0	'Hérouville-Saint-Clair'	
6456462	10	49.4311	1.05390	21995	0	'Le Petit-Quevilly'	
2979422	10	49.15	0.23000	20318	0	'Lisieux'	
2992003	10	49.4625	1.08720	19262	0	'Mont-Saint-Aignan'	
2978757	10	49.1144	-1.09170	19024	0	'Saint-Lô'	
2997336	10	49.2153	1.16560	18348	0	'Louviers'	
3018794	10	49.7575	0.37920	18251	0	'Fécamp'	
6454686	10	49.2858	1.00830	16205	0	'Elbeuf'	
3231095	10	49.6408	-1.57890	16040	0	'Tourlaville'	
2992367	10	49.5461	0.18810	15564	1	'Montivilliers'	
6439093	10	48.7483	-0.56940	14779	0	'Flers'	
8296353	10	49.47	1.11940	14309	0	'Bois-Guillaume'	
8296360	10	49.4511	1.03610	14244	1	'Canteleu'	
3037051	10	48.7444	-0.02030	13730	0	'Argentan'	
3034483	10	49.2786	-0.70390	13017	0	'Bayeux'	
