# ======================================================
# Model: Hierarchical health care design : 3 levels (brown field)
# Joao Flavio F. Almeida <joao.flavio@dep.ufmg.br >
# Fabricio Oliveira <fabricio.oliveira@aalto.fi >
# Data   : 19/02/2022
# Versao: 1.0:
# Region: 9: Occitanie (OC)
# =========================================================
data;

# param Distmax:=
# 1 80  # 80
# 2 120 # + 120
# 3 250; # + 200

# Minimal population on destination municipality (j) 
param POPmin:=
1	0
# 2	8000
# 3	20000
# 2	2000
# 3	4000
2	1379	# Q1
3	2243	# Q2 
;

param DurUpper:=
1 0.51 
# 2 1.75 
# 3 1.5;
2 1.1 
3 1.3; 

# Municipios selecionados que já possuem infraestrutura de nível 3
set S3:=
3038224	#	'Alès' : Central Hospital Alès
3035396	#	'Bagnols-sur-Cèze': Central Hospital 	Bagnols-sur-Cèze
3038261	#	'Albi' : Centre Hospitalier Générale (CHG)
2997395	#	'Lourdes': Centre Hospitalier
6301914	#	'Toulouse' : Hôpital de La Grave
2992166	#	'Montpellier' : Hospital Lapeyronie
2990363	#	'Nîmes' : University Hospital CAREMEAU
;

# CODIGO	REGIAO (code)	LAT	LONG	POPULACAO 2030	INFR	MUNICIPIO	
 param: I :	RE	lat	lng	POP	INFR	Mun 	:=
6301914	9	43.6045	1.44400	968638	0	'Toulouse'	
2992166	9	43.6119	3.87720	607896	0	'Montpellier'	
2990363	9	43.838	4.36100	151001	1	'Nîmes'	
2987914	9	42.6986	2.89560	120158	0	'Perpignan'	
8291902	9	43.3476	3.21900	77177	0	'Béziers'	
6454798	9	44.0181	1.35580	60810	0	'Montauban'	
2990919	9	43.1836	3.00420	54700	0	'Narbonne'	
3038261	9	43.9289	2.14640	48970	0	'Albi'	
8289344	9	43.21	2.35000	46031	0	'Carcassonne'	
6496329	9	43.4053	3.69750	43229	0	'Sète'	
12316668	9	43.6	2.25000	41636	0	'Castres'	
2973385	9	43.23	0.07000	41518	0	'Tarbes'	
3038224	9	44.1281	4.08170	40219	0	'Alès'	
3024223	9	43.6139	1.33670	38951	0	'Colomiers'	
3038638	9	43.3108	3.47580	28609	0	'Agde'	
2972237	9	43.5853	1.34420	26962	1	'Tournefeuille'	
2997116	9	43.6778	4.13610	26239	0	'Lunel'	
2991153	9	43.4611	1.32670	24945	0	'Muret'	
3032469	9	43.6364	1.39060	24517	0	'Blagnac'	
6427003	9	44.3506	2.57500	24057	0	'Rodez'	
3016956	9	43.4483	3.75610	22762	1	'Frontignan'	
2993875	9	44.0986	3.07830	22109	0	'Millau'	
3036281	9	43.6465	0.58550	21935	0	'Auch'	
3028337	9	43.6369	3.90190	20480	0	'Castelnau-le-Lez'	
3029213	9	44.4475	1.44060	19907	0	'Cahors'	
2986933	9	43.5656	1.29640	18888	1	'Plaisance-du-Touch'	
3022151	9	43.5378	1.34360	18267	1	'Cugnaux'	
3035396	9	44.1625	4.62000	18072	0	'Bagnols-sur-Cèze'	
2995121	9	43.6164	4.00750	16735	1	'Mauguio'	
3006121	9	43.5678	3.90210	16710	1	'Lattes'	
3035204	9	43.6103	1.49860	16520	1	'Balma'	
3034382	9	43.8072	4.64330	15718	0	'Beaucaire'	
2988670	9	43.1164	1.61080	15603	0	'Pamiers'	
3016824	9	43.9006	1.89830	15345	0	'Gaillac'	
2984493	9	43.5461	1.47560	14467	0	'Ramonville-Saint-Agne'	
3028322	9	44.04	1.10690	13934	0	'Castelsarrasin'	
3028409	9	43.5156	1.49810	13811	1	'Castanet-Tolosan'	
2979679	9	43.6778	4.43110	13787	1	'Saint-Gilles'	
2997395	9	43.095	-0.04530	13210	0	'Lourdes'	
2993586	9	44.1047	1.08530	13195	0	'Moissac'	
6444834	9	43.7608	1.98860	12789	0	'Graulhet'	
2977832	9	43.5514	1.53420	12522	0	'Saint-Orens-de-Gameville'	
2994617	9	44.5183	3.50060	12227	0	'Mende'	
6614492	9	42.7056	3.00720	12186	1	'Canet-en-Roussillon'	
3018103	9	43.5361	1.23110	12036	1	'Fonsorbes'	
2994043	9	43.4267	3.60530	12012	1	'Mèze'	
3028351	9	43.3181	1.95390	11951	0	'Castelnaudary'	
6427081	9	44.3525	2.03420	11781	0	'Villefranche-de-Rouergue'	
6616456	9	43.9664	4.79580	11769	0	'Villeneuve-lès-Avignon'	
2980313	9	42.7133	2.84190	11697	0	'Saint-Estève'	
12317844	9	44.3656	2.59360	11659	1	'Onet Village'	
2970407	9	43.6933	4.27610	11633	1	'Vauvert'	
2980045	9	43.1081	0.72330	11604	0	'Saint-Gaudens'	
2997104	9	43.6564	1.48440	11458	1	'L’Union'	
3012004	9	43.6131	3.80970	11363	1	'Juvignac'	
2998644	9	43.2006	2.75780	11248	0	'Lézignan-Corbières'	
2979394	9	43.6653	1.50500	10929	0	'Saint-Jean'	
2980984	9	42.6181	3.00640	10844	1	'Saint-Cyprien'	
3028388	9	43.6936	1.43280	10734	1	'Castelginest'	
6454780	9	43.6989	1.81890	10671	0	'Lavaur'	
6432641	9	43.5764	3.82390	10452	0	'Saint-Jean-de-Védas'	
2986109	9	44.2564	4.64830	10397	1	'Pont-Saint-Esprit'	
