# ======================================================
# Model: Hierarchical health care design : 3 levels (brown field)
# Joao Flavio F. Almeida <joao.flavio@dep.ufmg.br >
# Fabricio Oliveira <fabricio.oliveira@aalto.fi >
# Data   : 19/02/2022
# Versao: 1.0:
# Region: 1: Grand Est (GE)
# =========================================================
data;

# param Distmax:=
# 1 80  # 80
# 2 120 # + 120
# 3 250; # + 200

# Minimal population on destination municipality (j) 
param POPmin:=
1	0
# 2	7000
# 3	20000
# 2	2000
# 3	4000
2	1351	# Q1
3	1993	# Q2 
;

param DurUpper:=
1 0.51 
# 2 1.2 
# 3 1.5; 
2 0.6 
3 1.1; 

# Municipios selecionados que já possuem infraestrutura de nível 3
set S3:=
2975233	#	'Sélestat': CHS
8293796	#	'Nancy' : Henri Poincaré University Hospital
2973781	#	'Strasbourg' : Hôpital de Hautepierre
6524641	#	'Reims' : Reims University Hospital
;

# CODIGO	REGIAO (code)	LAT	LONG	POPULACAO 2030	INFR	MUNICIPIO	
 param: I :	RE	lat	lng	POP	INFR	Mun 	:=
2973781	1	48.58330	7.74580	465069	0	'Strasbourg'	
8293796	1	48.69360	6.18460	434565	0	'Nancy'	
6454365	1	49.12030	6.17780	391187	0	'Metz'	
6441541	1	47.75000	7.34000	285121	0	'Mulhouse'	
6524641	1	49.26280	4.03470	182460	0	'Reims'	
6445533	1	48.17440	6.45120	93184	0	'Épinal'	
3024297	1	48.08170	7.35560	69105	0	'Colmar'	
6453634	1	48.29970	4.07920	61652	0	'Troyes'	
2994020	1	49.77190	4.71610	46428	0	'Charleville-Mézières'	
3027487	1	48.95750	4.36500	44753	0	'Châlons-en-Champagne'	
6454375	1	49.35890	6.16920	40701	0	'Thionville'	
3014078	1	48.82000	7.79000	34504	0	'Haguenau'	
2975446	1	48.60780	7.75000	31894	0	'Schiltigheim'	
2970797	1	48.65670	6.16830	30002	0	'Vandœuvre-lès-Nancy'	
3012834	1	48.53000	7.72000	26780	0	'Illkirch-Graffenstaden'	
2980816	1	48.63830	4.94970	26300	0	'Saint-Dizier'	
3020062	1	49.04030	3.96000	22671	0	'Épernay'	
3025892	1	48.11170	5.13890	21945	0	'Chaumont'	
2992402	1	49.10060	6.15390	21819	1	'Montigny-lès-Metz'	
6454357	1	49.19000	6.90000	21552	0	'Forbach'	
6441606	1	47.59000	7.57000	21177	0	'Saint-Louis'	
2975964	1	49.11000	7.07000	20783	0	'Sarreguemines'	
2980827	1	48.28420	6.94920	19724	0	'Saint-Dié-des-Vosges'	
2975233	1	48.25940	7.45420	19360	0	'Sélestat'	
2998224	1	48.55750	7.68310	18930	1	'Lingolsheim'	
6454301	1	48.58940	6.50170	18027	0	'Lunéville'	
2969958	1	49.15970	5.38280	17161	0	'Verdun'	
6450593	1	48.61390	7.75190	17137	1	'Bischheim'	
3013701	1	49.35890	6.18860	16633	1	'Yutz'	
2975349	1	49.70190	4.94030	16193	0	'Sedan'	
3013627	1	49.32970	6.06190	15888	0	'Hayange'	
2972350	1	48.67500	5.89170	15470	0	'Toul'	
6454369	1	49.10420	6.70810	15433	0	'Saint-Avold'	
6449768	1	48.77170	5.16720	14733	0	'Bar-le-Duc'	
2997638	1	49.51970	5.76060	14730	1	'Longwy'	
6441484	1	47.78220	7.34810	14680	1	'Illzach'	
6436922	1	48.67310	6.15470	14558	1	'Villers-lès-Nancy'	
6441676	1	47.80750	7.33690	14541	1	'Wittenheim'	
6454309	1	48.90440	6.05420	14434	0	'Pont-à-Mousson'	
6426538	1	48.51580	3.72670	14328	0	'Romilly-sur-Seine'	
6436699	1	48.68560	6.15220	14300	0	'Laxou'	
3019077	1	49.29920	6.10970	14243	1	'Fameck'	
2983369	1	47.74860	7.40440	14071	1	'Rixheim'	
2967297	1	49.15110	6.15140	13998	1	'Woippy'	
6441496	1	47.79140	7.33810	13267	1	'Kingersheim'	
3022513	1	49.20530	6.69580	13070	0	'Creutzwald'	
2983629	1	47.74830	7.36690	12660	1	'Riedisheim'	
6450596	1	48.76640	7.85690	12615	0	'Bischwiller'	
8295366	1	48.55110	7.71360	12586	1	'Ostwald'	
6426546	1	48.27970	4.05390	12581	0	'Saint-André-les-Vergers'	
6437857	1	48.73470	7.05390	12331	1	'Sarrebourg'	
3010271	1	48.31190	4.04440	11913	1	'La Chapelle-Saint-Luc'	
3018235	1	49.32140	6.11830	11864	1	'Florange'	
2967856	1	48.72470	4.58440	11743	0	'Vitry-le-François'	
2996538	1	49.21220	6.16110	11490	1	'Maizières-lès-Metz'	
