# ======================================================
# Model: Hierarchical health care design : 3 levels (brown field)
# Joao Flavio F. Almeida <joao.flavio@dep.ufmg.br >
# Fabricio Oliveira <fabricio.oliveira@aalto.fi >
# Data   : 19/02/2022
# Versao: 1.0:
# Region: 13: Provence-Alpes-Côte d’Azur (CD)
# =========================================================
data;

# param Distmax:=
# 1 80  # 80
# 2 120 # + 120
# 3 250; # + 200

# Minimal population on destination municipality (j) 
param POPmin:=
1	0
# 2	10000
# 3	30000
# 2	2000
# 3	4000
2	1963	# Q1
3	3840	# Q2 
;

param DurUpper:=
1 0.51 
# 2 1.5 
# 3 1.5;
2 0.83 
3 1.1; 

# Municipios selecionados que já possuem infraestrutura de nível 3
set S3:=
3028808	#	'Cannes' : Centre Hôspitalier de Cannes
2988800	#	'Nice' : Centre Hospital Universitaire Nice (Louis Pasteur)
2969187	#	'Marseille' : Hôpital de Dubois Hautepierre Saints-Marguerite
3038354	#	'Aix-en-Provence' : Centre Hospitalier Intercommunal Aix-Pertuis
;

# CODIGO	REGIAO (code)	LAT	LONG	POPULACAO 2030	INFR	MUNICIPIO	
 param: I :	RE	lat	lng	POP	INFR	Mun 	:=
2988800	13	43.7034	7.26630	1006402	0	'Nice'	
2969187	13	43.2964	5.37000	870018	0	'Marseille'	
2980772	13	43.1258	5.93060	171953	0	'Toulon'	
3038354	13	43.5263	5.44540	142482	0	'Aix-en-Provence'	
3035681	13	43.95	4.80750	93671	0	'Avignon'	
3028808	13	43.5513	7.01280	73868	0	'Cannes'	
2977162	13	43.5808	7.12390	72999	0	'Antibes'	
2974657	13	43.1	5.88300	63936	0	'La Seyne-sur-Mer'	
3012937	13	43.1199	6.13160	55588	0	'Hyères'	
3017253	13	43.433	6.73700	52672	0	'Fréjus'	
3036938	13	43.6767	4.62780	52548	0	'Arles'	
3029227	13	43.6644	7.14890	50928	0	'Cagnes-sur-Mer'	
3014856	13	43.6667	6.91670	50396	0	'Grasse'	
6454958	13	43.4053	5.04750	48188	0	'Martigues'	
3036433	13	43.2908	5.57080	46268	0	'Aubagne'	
2976341	13	43.6406	5.09720	45528	0	'Salon-de-Provence'	
3012647	13	43.5151	4.98950	43133	0	'Istres'	
3004871	13	43.5769	7.01940	41471	0	'Le Cannet'	
3016702	13	44.5594	6.07860	40895	0	'Gap'	
3020850	13	43.5403	6.46670	39340	0	'Draguignan'	
6456718	13	43.1769	5.60860	35174	0	'La Ciotat'	
6445063	13	43.4252	6.76840	35042	0	'Saint-Raphaël'	
2967870	13	43.46	5.24860	33310	0	'Vitrolles'	
2995750	13	43.416	5.21450	32920	0	'Marignane'	
2974427	13	43.1009	5.82000	32829	1	'Six-Fours-les-Plages'	
2994497	13	43.775	7.50000	28958	1	'Menton'	
2989460	13	44.1383	4.80970	28919	0	'Orange'	
2978891	13	43.668	7.18800	28453	0	'Saint-Laurent-du-Var'	
3028542	13	44.0558	5.04890	28309	0	'Carpentras'	
6425695	13	43.5805	7.05380	26672	0	'Vallauris'	
6614137	13	43.8375	5.03810	26641	0	'Cavaillon'	
6454959	13	43.5822	5.00190	26470	1	'Miramas'	
3009198	13	43.1256	6.01080	25126	0	'La Garde'	
3005825	13	43.1383	5.98310	23884	1	'La Valette-du-Var'	
2996255	13	43.5464	6.93810	22452	0	'Mandelieu-la-Napoule'	
6425528	13	43.8342	5.78390	22333	0	'Manosque'	
3038159	13	43.3369	5.48280	21187	0	'Allauch'	
3000047	13	43.4106	5.31030	21046	1	'Les Pennes-Mirabeau'	
3016667	13	43.4553	5.47600	20794	0	'Gardanne'	
2987825	13	43.695	5.50360	20380	0	'Pertuis'	
2998127	13	43.9194	5.05140	19706	1	'L’Isle-sur-la-Sorgue'	
2991551	13	43.6	6.99470	19489	0	'Mougins'	
2974188	13	44.0083	4.87250	18802	0	'Sorgues'	
2970148	13	43.7225	7.11190	18670	0	'Vence'	
2999891	13	43.1497	6.07420	18506	0	'La Crau'	
3026227	13	43.3831	5.16420	17425	1	'Châteauneuf-les-Martigues'	
3030057	13	43.4058	6.06170	17364	0	'Brignoles'	
3002570	13	43.9642	4.86000	17273	1	'Le Pontet'	
2976258	13	43.1192	5.80220	16696	0	'Sanary-sur-Mer'	
2978100	13	43.4533	5.86190	16574	1	'Saint-Maximin-la-Sainte-Baume'	
6447156	13	43.405	4.98860	16569	1	'Port-de-Bouc'	
6618043	13	44.0925	6.23560	16333	0	'Digne-les-Bains'	
3026211	13	43.8825	4.85500	16012	1	'Châteaurenard'	
2968533	13	43.6581	7.12140	15780	1	'Villeneuve-Loubet'	
3017651	13	43.4544	4.94360	15602	1	'Fos-sur-Mer'	
2973393	13	43.805	4.65940	15195	0	'Tarascon'	
3031387	13	43.4544	5.41440	14784	0	'Bouc-Bel-Air'	
2982875	13	43.4433	6.63780	14626	0	'Roquebrune-sur-Argens'	
2980402	13	43.3089	6.63780	14240	1	'Sainte-Maxime'	
2989590	13	43.1394	5.84690	13771	0	'Ollioules'	
3034041	13	43.7419	7.42360	13576	1	'Beausoleil'	
2978396	13	43.6397	4.81250	13558	1	'Saint-Martin-de-Crau'	
3033241	13	43.4756	5.16810	13520	1	'Berre-l’Étang'	
3031868	13	44.2803	4.74890	13509	1	'Bollène'	
6425693	13	43.6414	7.00890	13257	1	'Valbonne'	
2992638	13	44.0356	4.99720	12875	1	'Monteux'	
3036012	13	43.3694	5.63140	12771	1	'Auriol'	
8288967	13	43.7725	7.19330	12489	1	'Carros'	
