# ======================================================
# Model: Hierarchical health care design : 3 levels (brown field)
# Joao Flavio F. Almeida <joao.flavio@dep.ufmg.br >
# Fabricio Oliveira <fabricio.oliveira@aalto.fi >
# Data   : 19/02/2022
# Versao: 1.0:
# Region: 3: Auvergne-Rhône-Alpes (AR)
# =========================================================
data;

# param Distmax:=
# 1 80  # 80
# 2 120 # + 120
# 3 250; # + 200

# Minimal population on destination municipality (j) 
param POPmin:=
1	0
# 2	8000
# 3	25000
# 2	2000
# 3	4000
2	2026	# Q1
3	1091	# Q2 
;

param DurUpper:=
1 0.51 
# 2 1.45 
# 3 1.6;
2 0.86 
3 1.1; 

# Municipios selecionados que já possuem infraestrutura de nível 3
set S3:=
3014728	#	'Grenoble': Grenoble University Hospital
6454573	#	'Lyon' : Hospices Civils de Lyon
3027422	#	'Chambéry' :Hôpital de Chambéry
;


# CODIGO	REGIAO (code)	LAT	LONG	POPULACAO 2030	INFR	MUNICIPIO	
 param: I :	RE	lat	lng	POP	INFR	Mun 	:=
3014728	3	45.1715	5.72240	687985	0	'Grenoble'	
6454573	3	45.76	4.84000	516092	0	'Lyon'	
6496352	3	45.4347	4.39030	172565	0	'Saint-Étienne'	
2968254	3	45.7667	4.88030	147712	0	'Villeurbanne'	
6501240	3	45.7831	3.08240	143886	0	'Clermont-Ferrand'	
8296151	3	45.916	6.13300	126924	0	'Annecy'	
2970072	3	45.6978	4.88670	65894	0	'Vénissieux'	
6453882	3	44.9333	4.89170	63714	0	'Valence'	
6430140	3	44.5581	4.75080	61861	0	'Montélimar'	
3027422	3	45.57	5.91180	58919	0	'Chambéry'	
6527084	3	45.7768	4.91860	49658	0	'Vaulx-en-Velin'	
6618456	3	45.6972	4.94470	46207	0	'Saint-Priest'	
3029096	3	45.7953	4.84720	43187	0	'Caluire-et-Cuire'	
3029931	3	45.7394	4.91390	41543	0	'Bron'	
3031009	3	46.2056	5.22890	41527	1	'Bourg-en-Bresse'	
2983739	3	45.1672	5.76530	38487	1	'Saint-Martin-d’Hères'	
8287970	3	45.9833	4.71670	36857	0	'Villefranche-sur-Saône'	
6433192	3	45.1436	5.71830	36840	0	'Échirolles'	
6451007	3	46.1958	6.23640	35712	0	'Annemasse'	
2992292	3	46.3408	2.60330	35653	0	'Montluçon'	
