# ======================================================
# Model: Hierarchical health care design : 3 levels (brown field)
# Joao Flavio F. Almeida <joao.flavio@dep.ufmg.br >
# Fabricio Oliveira <fabricio.oliveira@aalto.fi >
# Data   : 19/02/2022
# Versao: 1.0:
# Region: 11: Hauts-de-France (HF)
# =========================================================
data;

# param Distmax:=
# 1 80  # 80
# 2 120 # + 120
# 3 250; # + 200

# Minimal population on destination municipality (j) 
param POPmin:=
1	0
# 2	10000
# 3	25000
# 2	2000
# 3	4000
2	1416	# Q1
3	2282	# Q2 
;

param DurUpper:=
1 0.51 
# 2 1.0 
# 3 1.5; 
2 0.53 
3 1.1;

# Municipios selecionados que já possuem infraestrutura de nível 3
set S3:=
6455273	# 'Amiens': Amiens University Hospital
2972284	#	'Tourcoing' : Tourcoing Hospital
;

# CODIGO	REGIAO (code)	LAT	LONG	POPULACAO 2030	INFR	MUNICIPIO	
 param: I :	RE	lat	lng	POP	INFR	Mun 	:=
2998324	11	50.6278	3.05830	232787	0	'Lille'	
6455273	11	49.892	2.29900	136105	0	'Amiens'	
2978439	11	50.7264	1.61470	133062	0	'Boulogne-sur-Mer'	
2982681	11	50.6901	3.18170	100000	0	'Roubaix'	
2972284	11	50.7239	3.16120	97368	0	'Tourcoing'	
3296065	11	51.0383	2.37750	87353	1	'Dunkerque'	
3029159	11	50.9481	1.85640	73911	0	'Calais'	
2995695	11	49.4303	2.09520	56020	0	'Beauvais'	
2977295	11	49.8486	3.28640	53816	0	'Saint-Quentin'	
8286482	11	50.358	3.52330	43336	0	'Valenciennes'	
3036784	11	50.292	2.78000	41019	0	'Arras'	
2967421	11	50.7	3.21700	40958	0	'Wattrelos'	
7626220	11	49.4149	2.82310	40199	0	'Compiègne'	
3021000	11	50.3714	3.08000	39700	0	'Douai'	
6614574	11	50.6711	3.09720	38617	1	'Marcq-en-Baroeul'	
6438650	11	49.2583	2.48330	35657	0	'Creil'	
3029030	11	50.1767	3.23560	32558	0	'Cambrai'	
3003093	11	50.4322	2.83330	31415	0	'Lens'	
2998431	11	50.4228	2.77860	30785	0	'Liévin'	
2995150	11	50.2775	3.97340	29944	0	'Maubeuge'	
2974389	11	49.3817	3.32360	28530	0	'Soissons'	
8294497	11	50.6455	2.98760	28006	1	'Lomme'	
3008218	11	50.65	3.02500	27649	0	'Lambersart'	
6439604	11	50.4217	2.95080	26022	0	'Hénin-Beaumont'	
3033002	11	50.5303	2.64080	24895	0	'Béthune'	
3036903	11	50.6881	2.88110	24882	0	'Armentières'	
6453527	11	49.5639	3.62440	24876	0	'Laon'	
6438266	11	51.0139	2.30280	22966	0	'Grande-Synthe'	
3038789	11	50.1058	1.83580	22946	0	'Abbeville'	
6454415	11	50.6128	3.01440	22233	0	'Loos'	
8286238	11	50.725	2.53920	21441	0	'Hazebrouck'	
6525129	11	50.6558	3.07100	21173	1	'La Madeleine'	
3023356	11	51.0253	2.39170	21134	0	'Coudekerque-Branche'	
3005267	11	50.6781	3.15080	21041	1	'Croix'	
6438272	11	50.7836	3.12560	20800	1	'Halluin'	
6617196	11	50.6369	3.11030	20782	1	'Mons-en-Baroeul'	
2977388	11	51.0314	2.34390	20479	1	'Saint-Pol-sur-Mer'	
2967438	11	50.6694	3.13080	20479	0	'Wasquehal'	
6438865	11	49.2756	2.46830	20033	0	'Nogent-sur-Oise'	
6454406	11	50.3286	3.39500	19933	0	'Denain'	
6438449	11	50.6047	3.08780	19477	1	'Ronchin'	
6454411	11	50.6553	3.18780	18621	1	'Hem'	
3013563	11	50.6283	3.11000	18437	1	'Hellemmes-Lille'	
6614164	11	50.5989	3.07360	18165	1	'Fâches-Thumesnil'	
3035667	11	50.4097	2.83280	17583	1	'Avion'	
3028486	11	50.4931	2.95810	17399	0	'Carvin'	
2981839	11	50.4481	3.42690	16053	0	'Saint-Amand-les-Eaux'	
6438498	11	50.3631	3.11310	15522	1	'Sin-le-Noble'	
3026194	11	49.0464	3.40310	15351	1	'Château-Thierry'	
6455196	11	50.7375	2.73390	15019	0	'Bailleul'	
2975088	11	49.2072	2.58670	14891	0	'Senlis'	
3022569	11	49.2344	2.88750	14796	0	'Crépy-en-Valois'	
3013862	11	50.6092	2.98690	14775	1	'Haubourdin'	
2967423	11	50.585	3.04310	14736	1	'Wattignies'	
2977845	11	50.7483	2.26080	14726	1	'Saint-Omer'	
2994306	11	49.2358	2.13500	14609	1	'Méru'	
3013681	11	50.2481	3.92440	14601	1	'Hautmont'	
3028205	11	50.125	3.41170	14487	0	'Caudry'	
6617275	11	50.4083	1.59280	13791	1	'Berck-sur-Mer'	
6439779	11	50.7039	1.59390	13575	1	'Outreau'	
6425261	11	49.6558	3.28720	13547	1	'Tergnier'	
6614177	11	50.6714	3.21440	13471	1	'Lys-lès-Lannoy'	
2993004	11	49.2556	2.43830	13461	1	'Montataire'	
2982938	11	50.7536	3.12030	13361	0	'Roncq'	
3037397	11	50.3714	3.50440	13303	1	'Anzin'	
2989877	11	49.5811	2.99890	13235	0	'Noyon'	
6438379	11	50.7033	3.14060	13173	1	'Mouvaux'	
2981780	11	50.6603	3.04390	12966	1	'Saint-André'	
6438896	11	49.3011	2.60360	12601	0	'Pont-Sainte-Maxence'	
3024102	11	50.7611	3.00780	12498	1	'Comines'	
6438434	11	50.3892	3.48580	12468	1	'Raismes'	
2975361	11	50.5483	3.02940	12410	0	'Seclin'	
3013908	11	50.445	2.90580	12324	1	'Harnes'	
2974324	11	50.3575	3.28030	12213	0	'Somain'	
6439413	11	50.4419	2.72440	12117	0	'Bully-les-Mines'	
6438351	11	50.3489	3.54420	12074	0	'Marly'	
8294822	11	50.4797	2.66470	11813	1	'Noeux-les-Mines'	
3025859	11	49.6156	3.21920	11773	0	'Chauny'	
3017512	11	50.0172	4.05330	11714	0	'Fourmies'	
2977058	11	50.3697	3.55470	11353	0	'Saint-Saulve'	
6439720	11	50.4022	2.86580	11346	1	'Méricourt'	
3029824	11	50.3983	3.53940	11311	1	'Bruay-sur-l’Escaut'	
6439867	11	50.7258	1.63220	11226	0	'Saint-Martin-Boulogne'	
3014816	11	50.9864	2.12750	11132	0	'Gravelines'	
6438625	11	49.1869	2.46080	11001	0	'Chantilly'	
6439513	11	50.5178	1.64060	10926	1	'Étaples'	
6438558	11	50.6853	3.04860	10857	1	'Wambrechies'	
6439685	11	50.7356	2.23720	10736	0	'Longuenesse'	
2968405	11	49.2531	3.09030	10676	1	'Villers-Cotterêts'	
6618361	11	50.9481	1.95030	10649	1	'Marck'	
3022969	11	50.4581	2.94720	10544	1	'Courrières'	
3037520	11	50.5294	2.93280	10486	1	'Annoeullin'	
6450253	11	50.5083	2.47360	10399	0	'Auchel'	
2969213	11	50.4594	3.56830	10374	1	'Vieux-Condé'	
2995536	11	50.6758	3.06610	10354	1	'Marquette-lès-Lille'	
6439732	11	50.4278	2.92970	10315	1	'Montigny-en-Gohelle'	
3020980	11	50.3014	3.39330	10311	1	'Douchy-les-Mines'	
2990543	11	50.7467	3.15810	10231	1	'Neuville-en-Ferrain'	
6438310	11	50.2944	4.10140	10229	0	'Jeumont'	
3024643	11	49.3789	2.41250	10183	0	'Clermont'	
3027397	11	49.1667	2.24810	10174	1	'Chambly'	
3037571	11	50.33	3.25110	10146	1	'Aniche'	
6450080	11	50.7017	3.09330	9961	1	'Bondues'	
2998320	11	50.5636	2.48190	9910	1	'Lillers'	
6439773	11	50.4692	2.99360	9841	0	'Oignies'	
3038271	11	50.0019	2.65220	9810	0	'Albert'	
3038393	11	50.6386	2.39670	9772	0	'Aire-sur-la-Lys'	
6618443	11	50.7356	2.30250	9654	1	'Arques'	
2976404	11	50.4197	2.86220	9654	1	'Sallaumines'	
3019827	11	50.3344	3.34280	9645	0	'Escaudain'	
2994297	11	50.6439	2.64030	9598	1	'Merville'	
3023955	11	50.4492	3.59060	9586	1	'Condé-sur-l’Escaut'	
3004314	11	50.6817	3.24390	9400	1	'Leers'	
6618431	11	50.5197	2.67940	9331	0	'Beuvry'	
2992779	11	50.7067	1.57330	9157	1	'Le Portel'	
6438728	11	49.1878	2.41610	9023	0	'Gouvieux'	
2982383	11	50.3936	2.90390	8912	1	'Rouvroy'	
6614547	11	49.155	2.44080	8823	0	'Lamorlaye'	
2989506	11	50.3878	3.59810	8813	1	'Onnaing'	
3013258	11	49.9217	4.08390	8800	0	'Hirson'	
6450034	11	50.2047	3.83560	8767	1	'Aulnoye-Aymeries'	
2967343	11	50.4942	2.85530	8754	1	'Wingles'	
3012725	11	50.6233	2.45670	8745	1	'Isbergues'	
6454419	11	50.4747	3.24420	8736	1	'Orchies'	
6438325	11	50.5897	3.11110	8635	0	'Lesquin'	
6614414	11	50.6728	2.89500	8627	1	'La Chapelle d’Armentières'	
2970113	11	50.4739	2.86610	8543	1	'Vendin-le-Vieil'	
2995790	11	49.4261	2.82080	8521	1	'Margny-lès-Compiègne'	
2988003	11	50.6681	2.97250	8413	1	'Pérenchies'	
6439990	11	50.4839	3.01390	8337	1	'Libercourt'	
2998209	11	50.7372	3.07940	8329	1	'Linselles'	
6439370	11	50.4181	2.91190	8167	1	'Billy-Montigny'	
2994837	11	50.4731	2.71810	8036	0	'Mazingarbe'	
3023097	11	50.4181	3.01810	7918	1	'Courcelles-les-Lens'	
3028690	11	50.9983	2.36420	7909	1	'Cappelle-la-Grande'	
3038703	11	50.2733	2.75940	7878	1	'Achicourt'	
6438304	11	50.6908	2.90920	7770	0	'Houplines'	
2967411	11	50.5739	2.93890	7723	0	'Wavrin'	
6450284	11	50.4553	2.61860	7603	1	'Barlin'	
2987928	11	49.9322	2.93640	7595	0	'Péronne'	
3017167	11	50.4336	3.57690	7532	0	'Fresnes-sur-Escaut'	
2990392	11	50.7031	2.83890	7479	1	'Nieppe'	
6438573	11	50.3872	3.11310	7427	1	'Waziers'	
3036289	11	50.4153	3.05440	7256	1	'Auby'	
6439661	11	50.4372	3.06420	7232	1	'Leforest'	
3013122	11	50.4522	2.53720	7178	1	'Houdain'	
3031083	11	50.9464	2.19780	7171	1	'Bourbourg'	
6439479	11	50.4722	2.50140	6977	0	'Divion'	
2998532	11	49.3308	2.46530	6951	0	'Liancourt'	
6438517	11	51.0186	2.44390	6926	1	'Téteghem'	
2997619	11	50.4578	2.79330	6855	0	'Loos-en-Gohelle'	
3018778	11	50.3022	3.91810	6854	1	'Feignies'	
6439573	11	50.4522	2.74310	6851	1	'Grenay'	
6450072	11	50.3858	3.50560	6821	1	'Beuvrages'	
2984787	11	50.7125	2.99940	6814	1	'Quesnoy-sur-Deûle'	
2989897	11	50.4306	2.87280	6646	1	'Noyelles-sous-Lens'	
3011307	11	50.5336	2.80720	6545	0	'La Bassée'	
2968348	11	49.2889	2.48720	6440	1	'Villers-Saint-Paul'	
3022133	11	50.3822	3.04670	6421	1	'Cuincy'	
3009050	11	50.6439	2.72310	6420	1	'Estaires'	
6438342	11	50.265	3.96000	6405	0	'Louvroil'	
3017556	11	50.4286	2.91280	6399	0	'Fouquières-lès-Lens'	
2967351	11	50.7697	1.61000	6356	1	'Wimereux'	
3032372	11	50.3953	3.66690	6355	1	'Quiévrechain'	
3023742	11	49.9089	2.50720	6307	0	'Corbie'	
3008463	11	50.39	3.16810	6297	0	'Lallaing'	
3013380	11	50.4461	2.64780	6263	1	'Hersin-Coupigny'	
6438515	11	50.5267	3.17500	6196	1	'Templeuve'	
6438529	11	50.3256	3.48580	6189	1	'Trith-Saint-Léger'	
2992760	11	49.6481	2.57000	6174	0	'Montdidier'	
6438338	11	50.9942	2.21970	6139	1	'Loon-Plage'	
2967466	11	50.4203	3.10560	6089	1	'Roost-Warendin'	
2981941	11	50.4447	2.68360	6077	1	'Sains-en-Gohelle'	
6438405	11	50.3772	3.21580	6050	1	'Pecquencourt'	
2979010	11	49.5061	2.43080	6033	1	'Saint-Just-en-Chaussée'	
3020944	11	50.1567	2.34030	5998	0	'Doullens'	
3020917	11	50.4361	2.98670	5935	1	'Dourges'	
3037521	11	50.5336	2.61830	5871	1	'Annezin'	
2989901	11	50.42	2.99390	5828	0	'Noyelles-Godault'	
3018336	11	50.3978	3.06250	5816	0	'Flers-en-Escrebieux'	
2982330	11	49.7	2.79030	5709	0	'Roye'	
2997681	11	49.8703	2.35610	5693	0	'Longueau'	
6446501	11	49.9864	3.45470	5675	1	'Bohain-en-Vermandois'	
2976108	11	50.5933	2.96220	5668	1	'Santes'	
3021911	11	50.2819	2.72720	5665	0	'Dainville'	
2967288	11	50.8828	2.46780	5665	1	'Wormhout'	
3005418	11	50.6383	2.71420	5637	1	'La Gorgue'	
