original_lon,original_lat,distance,formatted,lat,lon,KEY,name,housenumber,street,suburb,postcode,state_code,district,city,county,state,country,country_code,attribution,attribution_license,attribution_url
"2,42233","48,87912",0.111195079952792,"41 Avenue Du Maréchal Juin, 93260 Les Lilas, France",48.879121,2.42233,"2,4223348,87912",,41,Avenue Du Maréchal Juin,,93260,,Les Lilas,Les Lilas,Seine-Saint-Denis,Ile-of-France,France,fr,© OpenAddresses contributors,BSD-3-Clause License,
"2,5251267999","48,9158291",0.0183697569617711,"64 Avenue De Sully, 93190 Livry-Gargan, France",48.915829,2.525127,"2,525126799948,9158291",,64,Avenue De Sully,,93190,,Livry-Gargan,Livry-Gargan,Seine-Saint-Denis,Ile-of-France,France,fr,© OpenAddresses contributors,BSD-3-Clause License,
"2,5233647","48,918317599",0,"Clinique Vauban, Avenue Vauban, 93190 Livry-Gargan, France",48.9184072,2.52307155431713,"2,523364748,918317599",Clinique Vauban,,Avenue Vauban,Danton,93190,,,Livry-Gargan,Seine-Saint-Denis,Ile-de-France,France,fr,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"2,3552027","48,9296687",0,"Clinique Porte de Paris, Rue Bobby Sands, 93200 Saint-Denis, France",48.9296897,2.35533030801368,"2,355202748,9296687",Clinique Porte de Paris,,Rue Bobby Sands,Grand Centre Ville,93200,,,Saint-Denis,Seine-Saint-Denis,Ile-de-France,France,fr,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"2,367401","48,955076",1.62267485107692,"Rue d'Amiens, 93240 Stains, France",48.9541784,2.3678467,"2,36740148,955076",Rue d'Amiens,,Rue d'Amiens,,93240,,Clos-Saint-Lazare,Stains,Seine-Saint-Denis,Ile-de-France,France,fr,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"2,334449","48,916583",0,"23 Rue du Landy, 93200 Saint-Ouen-sur-Seine, France",48.916583,2.334449,"2,33444948,916583",,23,Rue du Landy,Pleyel - Confluence,93200,,Vieux Saint-Ouen,Saint-Ouen-sur-Seine,Seine-Saint-Denis,Ile-de-France,France,fr,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"2,572791","48,940967",0.111195079952792,"38 Rue De Flandre, 93290 Tremblay-en-France, France",48.940968,2.572791,"2,57279148,940967",,38,Rue De Flandre,,93290,,Tremblay-en-France,Tremblay-en-France,Seine-Saint-Denis,Ile-of-France,France,fr,© OpenAddresses contributors,BSD-3-Clause License,
"2,3463165","48,940878299",4.35624747372911,"Centre Cardiologique du Nord, Rue Maurice Thorez, 93200 Saint-Denis, France",48.941085,2.34690765933693,"2,346316548,940878299",Centre Cardiologique du Nord,,Rue Maurice Thorez,Delaunay - Belleville - Semard,93200,,Delaunay - Belleville,Saint-Denis,Seine-Saint-Denis,Ile-de-France,France,fr,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"2,45686","48,887587",2.34576157548898,"1 Boulevard Roger Salengro, 93130 Noisy-le-Sec, France",48.887601,2.456836,"2,4568648,887587",,1,Boulevard Roger Salengro,,93130,,Noisy-le-Sec,Noisy-le-Sec,Seine-Saint-Denis,Ile-of-France,France,fr,© OpenAddresses contributors,BSD-3-Clause License,
"2,318808","48,951143",1.58491289482403,"93800 Épinay-sur-Seine, France",48.9511665,2.3185118,"2,31880848,951143",,,,Les Mobiles-La Briche-Les Béatus-Blumenthal,93800,,,Épinay-sur-Seine,Seine-Saint-Denis,Ile-de-France,France,fr,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"2,536351","48,963747",0,"Établissement Hospitalier Sainte-Marie, Place de la Mairie, 93420 Villepinte, France",48.9630503,2.53546555580196,"2,53635148,963747",Établissement Hospitalier Sainte-Marie,,Place de la Mairie,,93420,,,Villepinte,Seine-Saint-Denis,Ile-de-France,France,fr,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"2,4661313","48,894044699",2.85031514387588,"Rue Jean Moulin, 93130 Noisy-le-Sec, France",48.894063,2.466104,"2,466131348,894044699",,,Rue Jean Moulin,,93130,,Noisy-le-Sec,Noisy-le-Sec,Seine-Saint-Denis,Ile-of-France,France,fr,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"2,355497","48,93516",0,"4 Rue Franklin, 93200 Saint-Denis, France",48.93516,2.355497,"2,35549748,93516",,4,Rue Franklin,,93200,,Saint-Denis,Saint-Denis,Seine-Saint-Denis,Ile-of-France,France,fr,© OpenAddresses contributors,BSD-3-Clause License,
"2,4480396","48,8667649",52.5734415683548,"8 Rue Rochebrune, 93100 Montreuil, France",48.867146,2.448465,"2,448039648,8667649",,8,Rue Rochebrune,,93100,,Montreuil,Montreuil,Seine-Saint-Denis,Ile-of-France,France,fr,© OpenAddresses contributors,BSD-3-Clause License,
"2,5635474","48,8655648",0.391573268536641,"Avenue Jean Jaurès, 93330 Neuilly-sur-Marne, France",48.8655626,2.5635643,"2,563547448,8655648",Avenue Jean Jaurès,,Avenue Jean Jaurès,,93330,,,Neuilly-sur-Marne,Seine-Saint-Denis,Ile-de-France,France,fr,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"2,3304842999","48,9041162",26.7507752931963,"21 Rue Garibaldi, 93400 Saint-Ouen, France",48.904162,2.330125,"2,330484299948,9041162",,21,Rue Garibaldi,,93400,,Saint-Ouen,Saint-Ouen,Seine-Saint-Denis,Ile-of-France,France,fr,© OpenAddresses contributors,BSD-3-Clause License,
"2,402109","48,892203",6.00466846937955,"16 Rue Hoche, 93500 Pantin, France",48.892152,2.402136,"2,40210948,892203",,16,Rue Hoche,Mairie - Hoche,93500,,,Pantin,Seine-Saint-Denis,Ile-de-France,France,fr,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"2,3771034999","48,9369123",1.10218415577239,"Centre de néphrologie, Rue des Postillons, 93200 Saint-Denis, France",48.93674075,2.37717843555151,"2,377103499948,9369123",Centre de néphrologie,,Rue des Postillons,Joliot-Curie - Lamaze - Cosmonautes,93200,,Saint-Denis,Saint-Denis,Seine-Saint-Denis,Ile-de-France,France,fr,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"2,30833","48,954695",54.8180621570383,"111 Rue De Paris, 93800 Épinay-sur-Seine, France",48.954629,2.307586,"2,3083348,954695",,111,Rue De Paris,,93800,,Épinay-sur-Seine,Épinay-sur-Seine,Seine-Saint-Denis,Ile-of-France,France,fr,© OpenAddresses contributors,BSD-3-Clause License,
"2,448999","48,793587",15.5388784166052,"42 Rue Gustave Eiffel, 94000 Créteil, France",48.793689,2.448854,"2,44899948,793587",,42,Rue Gustave Eiffel,,94000,,Créteil,Créteil,Val-de-Marne,Ile-of-France,France,fr,© OpenAddresses contributors,BSD-3-Clause License,
"2,464506","48,797635",2.88961322531244,"Centre hospitalier intercommunal de Créteil, Rue du Puits Georget, 94000 Créteil, France",48.79669445,2.46575131195853,"2,46450648,797635",Centre hospitalier intercommunal de Créteil,,Rue du Puits Georget,Bords de Marne - Val de Brie,94000,,,Créteil,Val-de-Marne,Ile-de-France,France,fr,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"2,4529400999","48,721859599",0,"Centre Hospitalier Intercommunal Lucie et Raymond Aubrac, 40 Allée de la Source, 94195 Villeneuve-Saint-Georges, France",48.72185,2.45286517456903,"2,452940099948,721859599",Centre Hospitalier Intercommunal Lucie et Raymond Aubrac,40,Allée de la Source,,94195,,,Villeneuve-Saint-Georges,Val-de-Marne,Ile-de-France,France,fr,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"2,347847","48,810489",0.133141441187436,"7 Rue Bensérade, 94250 Gentilly, France",48.81049,2.347848,"2,34784748,810489",,7,Rue Bensérade,,94250,,Gentilly,Gentilly,Val-de-Marne,Ile-of-France,France,fr,© OpenAddresses contributors,BSD-3-Clause License,
"2,580475","48,785834",0.111195079952792,"17 Rue Du Général Leclerc, 94510 La Queue-en-Brie, France",48.785835,2.580475,"2,58047548,785834",,17,Rue Du Général Leclerc,,94510,,La Queue-En-Brie,La Queue-en-Brie,Val-de-Marne,Ile-of-France,France,fr,© OpenAddresses contributors,BSD-3-Clause License,
"2,358693","48,78857",2.16790779245604,"Centre Hospitalier Paul Guiraud, 54 Avenue de la République, 94800 Villejuif, France",48.7899808,2.35763082977353,"2,35869348,78857",Centre Hospitalier Paul Guiraud,54,Avenue de la République,,94800,,,Villejuif,Val-de-Marne,Ile-de-France,France,fr,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"2,528122","48,833785",0.932721583044469,"Hôpital Saint-Camille, Rue des Pères Camilliens, 94360 Bry-sur-Marne, France",48.83306525,2.5264991831668,"2,52812248,833785",Hôpital Saint-Camille,,Rue des Pères Camilliens,,94360,,,Bry-sur-Marne,Val-de-Marne,Ile-de-France,France,fr,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"2,3360983999","48,7711165",0,"Hôpital de Chevilly-Larue, 24 Rue Albert Thuret, 94550 Chevilly-Larue, France",48.77120555,2.33527302397305,"2,336098399948,7711165",Hôpital de Chevilly-Larue,24,Rue Albert Thuret,,94550,,Larue,Chevilly-Larue,Val-de-Marne,Ile-de-France,France,fr,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"2,349859","48,793751",0,"Rond-Point François Mitterrand, 94800 Villejuif, France",48.793718,2.34974817994071,"2,34985948,793751",Rond-Point François Mitterrand,,Rond-Point François Mitterrand,,94800,,,Villejuif,Val-de-Marne,Ile-de-France,France,fr,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"2,537903","48,838914",1.83303042199398,"33 Rue Léon Menu, 94360 Bry-sur-Marne, France",48.838915,2.537928,"2,53790348,838914",,33,Rue Léon Menu,,94360,,Bry-sur-Marne,Bry-sur-Marne,Val-de-Marne,Ile-of-France,France,fr,© OpenAddresses contributors,BSD-3-Clause License,
"2,4880527","48,8155028",0,"Clinique de Champigny, Rue de Verdun, 94500 Champigny-sur-Marne, France",48.8153821,2.48810351229696,"2,488052748,8155028",Clinique de Champigny,,Rue de Verdun,,94500,,,Champigny-sur-Marne,Val-de-Marne,Ile-de-France,France,fr,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"2,423449","48,820279",0,"Hôpital National de Saint-Maurice, Avenue de Gravelle, 75012 Paris, France",48.8207737,2.42846844548651,"2,42344948,820279",Hôpital National de Saint-Maurice,,Avenue de Gravelle,12th Arrondissement,75012,,Paris,Paris,,Ile-de-France,France,fr,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"2,499602","48,816051",0,"6 Rue du Chemin Vert, 94500 Champigny-sur-Marne, France",48.816051,2.499602,"2,49960248,816051",,6,Rue du Chemin Vert,,94500,,,Champigny-sur-Marne,Val-de-Marne,Ile-de-France,France,fr,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
