unit,med_spec,geo\time	2021 	2020 	2019 	2018 	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 	2003 	2002 	2001 	2000 	1999 	1998 	1997 	1996 	1995 	1994 	1993 	1992 	1991 	1990 	1989 	1988 	1987 	1986 	1985 
NR,GEN,AT	13277.00 	13280.00 	13581.00 	: 	13745.00 	13834 b	14275.00 	14130.00 	13924.00 	13657.00 	13403.00 	13219.00 	12979.00 	12735.00 	12725.00 	12488.00 	12065.00 	11757.00 	11488.00 	11335.00 	11228.00 	10939.00 	10771.00 	10867.00 	10558.00 	10272.00 	10032.00 	9701.00 	9364.00 	9105.00 	8698.00 	8312.00 	7900.00 	7583.00 	7239.00 	6930.00 	6770.00 
NR,GEN,BE	: 	13697.00 	13425.00 	13178.00 	12992.00 	12929.00 	12693.00 	12560.00 	12483.00 	12363.00 	12290.00 	12228.00 	12286.00 	12273.00 	12336.00 	12415.00 	12405.00 	12412.00 	12394.00 	12346.00 	12303.00 	12261.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,GEN,BG	: 	4174.00 	4255.00 	4322.00 	4396.00 	4610.00 	4512.00 	4703.00 	4743.00 	4789.00 	4905.00 	4961 b	5198.00 	5043.00 	5426.00 	5521.00 	5631.00 	5685.00 	5561.00 	5760.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,GEN,CH	9964.00 	9848.00 	9724.00 	9683.00 	9628.00 	9601.00 	9570.00 	9225.00 	8986.00 	8618.00 	8356 b	4748.00 	4683.00 	4581 b	4005.00 	3920.00 	3842.00 	3884.00 	3745.00 	3262.00 	2863.00 	2812.00 	2740.00 	2698.00 	2669.00 	2626.00 	2595.00 	2583.00 	2572.00 	2538.00 	2490.00 	2438.00 	2393.00 	2163.00 	2090.00 	1996.00 	1887.00 
NR,GEN,CY	: 	: 	842.00 	912.00 	833.00 	786.00 	735.00 	680.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	288.00 	: 	: 	: 	: 	338.00 	: 	229.00 	223.00 	205.00 	191.00 	188.00 	0.00 	0.00 	138.00 	0.00 
NR,GEN,CZ	: 	7112 e	7330 be	: 	: 	: 	: 	: 	7371.00 	7386.00 	7369.00 	7369.00 	7366.00 	7332.00 	7320.00 	7404.00 	7423 b	: 	: 	: 	: 	7465 e	: 	: 	: 	: 	7175 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,GEN,DE	: 	85471.00 	83049.00 	81116.00 	80184.00 	79034.00 	78201.00 	80210.00 	78608.00 	75390.00 	75252.00 	74113.00 	71218.00 	69303.00 	68026.00 	68521.00 	70036.00 	70116.00 	72686.00 	73158.00 	73605.00 	72913.00 	70243.00 	68866.00 	67861.00 	67415.00 	66217.00 	64609.00 	62805.00 	60489.00 	58515.00 	: 	: 	: 	: 	: 	: 
NR,GEN,DK	: 	: 	4641.00 	4649.00 	4617.00 	4585.00 	4575.00 	4499.00 	4459.00 	4481.00 	4422.00 	4397.00 	4350.00 	4344.00 	4187.00 	4187.00 	4168.00 	4194.00 	3972.00 	3984.00 	3970.00 	3944.00 	3503.00 	3421.00 	3211.00 	2857.00 	2746.00 	2509 b	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,GEN,EE	: 	1084.00 	1102.00 	1097.00 	1059.00 	1061.00 	1052.00 	1057.00 	1052 b	959.00 	1001.00 	979.00 	979.00 	1020.00 	1017.00 	987.00 	982.00 	983.00 	1004.00 	969.00 	913.00 	1048.00 	948.00 	799.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,GEN,EL	: 	: 	4732.00 	4390.00 	4651.00 	4521.00 	4396.00 	4307 b	3494.00 	3456.00 	3369.00 	3391.00 	3124.00 	3057.00 	3499.00 	2772.00 	2911.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,GEN,ES	: 	43302.00 	43131.00 	41727 b	35378.00 	34797.00 	34735.00 	34880.00 	35017.00 	35061.00 	34722.00 	34620.00 	33958.00 	33349.00 	31590.00 	32001.00 	31210.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,GEN,FI	: 	: 	: 	7458.00 	7313.00 	7326.00 	7343.00 	7579.00 	7348 b	8435 d	8450 d	8071 bd	9980 d	9915 d	9928 d	9832 d	9891 d	10116 d	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,GEN,FR	: 	94009.00 	94442.00 	94146.00 	94384.00 	93847.00 	93780.00 	93783.00 	93539.00 	92875.00 	92684 b	103262.00 	103349 b	104225.00 	103914.00 	104007.00 	103669.00 	103020.00 	101953.00 	100682.00 	99455.00 	98183.00 	96607.00 	97046.00 	96850.00 	96985.00 	96723.00 	96351.00 	95396.00 	96867.00 	95420.00 	93547.00 	: 	: 	: 	: 	: 
NR,GEN,HR	: 	3121.00 	3389.00 	3507.00 	3321.00 	3406.00 	3248.00 	3502.00 	3335.00 	3371.00 	3299.00 	3350.00 	3264 b	2960.00 	2962.00 	2950.00 	2979.00 	3019.00 	3019.00 	3040.00 	3075.00 	3090.00 	3098.00 	3066 b	3130.00 	3045 b	3464.00 	3629.00 	3619.00 	3412.00 	3428.00 	4029.00 	3871.00 	3796.00 	3675.00 	3573.00 	3488.00 
NR,GEN,HU	: 	6438 b	7302.00 	7096.00 	6855.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,GEN,IE	11743 b	9360.00 	9039.00 	8965.00 	8763.00 	8514.00 	8610.00 	8214 b	10781.00 	11288.00 	11366 b	12475.00 	12150 b	14446.00 	13726.00 	12708.00 	12147.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,GEN,IS	: 	: 	215.00 	218.00 	209.00 	213 b	191.00 	188.00 	188.00 	184.00 	185.00 	182.00 	186.00 	187.00 	188.00 	183.00 	179 b	169.00 	: 	: 	174.00 	171.00 	: 	156.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,GEN,IT	50036 p	50354.00 	52555.00 	52998.00 	53691.00 	54063.00 	53610.00 	53463.00 	53525.00 	53994.00 	53856 e	52944 e	52657 e	52636 e	52674 e	51686 e	51761 e	51434 e	50430 e	49559 e	48903 e	48230 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,GEN,LI	44.00 	50.00 	48.00 	44.00 	46.00 	37.00 	35.00 	34.00 	37.00 	37.00 	37.00 	37 b	26 d	25 d	25 d	24 d	25 d	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,GEN,LT	: 	2728.00 	2883.00 	2884.00 	2971.00 	2873.00 	2819.00 	2769.00 	2709.00 	2697.00 	2679 b	2381.00 	2383.00 	2351.00 	2504.00 	2413.00 	2335.00 	2331.00 	2313.00 	2193.00 	2061.00 	1898.00 	1751.00 	1574.00 	1486.00 	1461.00 	1437.00 	1429.00 	1450.00 	1443.00 	: 	: 	: 	: 	: 	: 	: 
NR,GEN,LU	: 	: 	: 	: 	534.00 	505.00 	498.00 	489.00 	467.00 	441.00 	424.00 	414.00 	395.00 	397.00 	392.00 	365.00 	364.00 	318.00 	304.00 	298.00 	288.00 	279 b	359.00 	348.00 	337.00 	330.00 	324.00 	312.00 	316.00 	302.00 	295.00 	295.00 	282.00 	268.00 	241.00 	: 	240.00 
NR,GEN,LV	: 	1416.00 	1369.00 	1411.00 	1414.00 	1412.00 	1379.00 	1394.00 	1357.00 	1338.00 	1328.00 	1311.00 	1315.00 	1323.00 	1311.00 	1304.00 	1302.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,GEN,ME	: 	316.00 	310.00 	336.00 	303.00 	284.00 	273.00 	245.00 	241.00 	204.00 	190.00 	195.00 	208.00 	237.00 	201.00 	185.00 	200.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,GEN,MK	: 	1902.00 	2116.00 	2155.00 	2032.00 	2070.00 	1967.00 	2112.00 	2017.00 	2063.00 	1933.00 	1823.00 	1784.00 	1786.00 	1608.00 	1726 b	1340.00 	1465.00 	1497.00 	1619.00 	1565.00 	1563.00 	1850.00 	1850.00 	1855.00 	1852.00 	1958.00 	1921.00 	2002.00 	2069.00 	2100.00 	1975.00 	2002.00 	1941.00 	1820.00 	1799.00 	1704.00 
NR,GEN,MT	: 	415.00 	415.00 	396.00 	379.00 	360.00 	349.00 	346.00 	340.00 	335.00 	315.00 	278.00 	274.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,GEN,NL	: 	31037.00 	30107.00 	28729.00 	27730.00 	27060.00 	26490.00 	25611 b	24498.00 	24135.00 	23301.00 	20848.00 	20813.00 	20436.00 	19597.00 	19774.00 	19170.00 	19634.00 	19498.00 	19079.00 	18971.00 	18534.00 	18451.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
