NIVEL	CODIGO	DESTINO	POP ATENDIDA	Physicians	Nurses	OtherCadres	CommunityBased	MRIUnit	Mammography	Radiotherapy
1	2990919.00	0.00	153325.00	19.93	96.59	55.20	53.66	0.00	0.00	0.00
1	2973385.00	0.00	117115.00	15.22	73.78	42.16	40.99	0.00	0.00	0.00
1	2991153.00	0.00	121837.00	15.84	76.76	43.86	42.64	0.00	0.00	0.00
1	6427003.00	0.00	80188.00	10.42	50.52	28.87	28.07	0.00	0.00	0.00
1	2993875.00	0.00	27915.00	3.63	17.59	10.05	9.77	0.00	0.00	0.00
1	3036281.00	0.00	27928.00	3.63	17.59	10.05	9.77	0.00	0.00	0.00
1	3028337.00	0.00	603600.00	78.47	380.27	217.30	211.26	0.00	0.00	0.00
1	2994617.00	0.00	14843.00	1.93	9.35	5.34	5.19	0.00	0.00	0.00
1	3029302.00	0.00	68084.00	8.85	42.89	24.51	23.83	0.00	0.00	0.00
1	3018506.00	0.00	31753.00	4.13	20.00	11.43	11.11	0.00	0.00	0.00
1	3018174.00	0.00	48440.00	6.30	30.52	17.44	16.95	0.00	0.00	0.00
1	6431321.00	0.00	191125.00	24.85	120.41	68.81	66.89	0.00	0.00	0.00
1	2987376.00	0.00	8517.00	1.11	5.37	3.07	2.98	0.00	0.00	0.00
1	2972665.00	0.00	325599.00	42.33	205.13	117.22	113.96	0.00	0.00	0.00
1	3023606.00	0.00	985571.00	128.12	620.91	354.81	344.95	0.00	0.00	0.00
1	2978325.00	0.00	108068.00	14.05	68.08	38.90	37.82	0.00	0.00	0.00
1	3007694.00	0.00	2886.00	0.38	1.82	1.04	1.01	0.00	0.00	0.00
1	2983744.00	0.00	120809.00	15.71	76.11	43.49	42.28	0.00	0.00	0.00
1	3035416.00	0.00	2293.00	0.30	1.44	0.83	0.80	0.00	0.00	0.00
1	2975018.00	0.00	33702.00	4.38	21.23	12.13	11.80	0.00	0.00	0.00
1	2968062.00	0.00	11392.00	1.48	7.18	4.10	3.99	0.00	0.00	0.00
1	2979995.00	0.00	12541.00	1.63	7.90	4.51	4.39	0.00	0.00	0.00
1	2967812.00	0.00	109925.00	14.29	69.25	39.57	38.47	0.00	0.00	0.00
1	3004185.00	0.00	14487.00	1.88	9.13	5.22	5.07	0.00	0.00	0.00
1	3018238.00	0.00	1894.00	0.25	1.19	0.68	0.66	0.00	0.00	0.00
1	2987103.00	0.00	219793.00	28.57	138.47	79.13	76.93	0.00	0.00	0.00
1	2998132.00	0.00	8918.00	1.16	5.62	3.21	3.12	0.00	0.00	0.00
1	3006711.00	0.00	24387.00	3.17	15.36	8.78	8.54	0.00	0.00	0.00
1	3011252.00	0.00	8485.00	1.10	5.35	3.05	2.97	0.00	0.00	0.00
1	2998445.00	0.00	140253.00	18.23	88.36	50.49	49.09	0.00	0.00	0.00
1	2970978.00	0.00	122731.00	15.95	77.32	44.18	42.96	0.00	0.00	0.00
1	3027915.00	0.00	12594.00	1.64	7.93	4.53	4.41	0.00	0.00	0.00
1	3011313.00	0.00	17473.00	2.27	11.01	6.29	6.12	0.00	0.00	0.00
1	2992147.00	0.00	14233.00	1.85	8.97	5.12	4.98	0.00	0.00	0.00
1	2971046.00	0.00	37938.00	4.93	23.90	13.66	13.28	0.00	0.00	0.00
1	3011281.00	0.00	34796.00	4.52	21.92	12.53	12.18	0.00	0.00	0.00
1	2970288.00	0.00	18598.00	2.42	11.72	6.70	6.51	0.00	0.00	0.00
1	3035595.00	0.00	1277.00	0.17	0.80	0.46	0.45	0.00	0.00	0.00
1	3008825.00	0.00	1238.00	0.16	0.78	0.45	0.43	0.00	0.00	0.00
1	2995990.00	0.00	6113.00	0.79	3.85	2.20	2.14	0.00	0.00	0.00
1	2976310.00	0.00	5193.00	0.68	3.27	1.87	1.82	0.00	0.00	0.00
1	3015690.00	0.00	17329.00	2.25	10.92	6.24	6.06	0.00	0.00	0.00
1	6440945.00	0.00	12974.00	1.69	8.17	4.67	4.54	0.00	0.00	0.00
1	3028048.00	0.00	12072.00	1.57	7.61	4.35	4.23	0.00	0.00	0.00
1	3003774.00	0.00	8025.00	1.04	5.06	2.89	2.81	0.00	0.00	0.00
1	2980152.00	0.00	47737.00	6.21	30.07	17.19	16.71	0.00	0.00	0.00
1	3024797.00	0.00	8378.00	1.09	5.28	3.02	2.93	0.00	0.00	0.00
1	6444868.00	0.00	35038.00	4.56	22.07	12.61	12.26	0.00	0.00	0.00
1	2974002.00	0.00	5189.00	0.67	3.27	1.87	1.82	0.00	0.00	0.00
1	3027582.00	0.00	11138.00	1.45	7.02	4.01	3.90	0.00	0.00	0.00
1	2981984.00	0.00	3669.00	0.48	2.31	1.32	1.28	0.00	0.00	0.00
1	3023294.00	0.00	13027.00	1.69	8.21	4.69	4.56	0.00	0.00	0.00
1	2975056.00	0.00	83537.00	10.86	52.63	30.07	29.24	0.00	0.00	0.00
1	3019829.00	0.00	129854.00	16.88	81.81	46.75	45.45	0.00	0.00	0.00
1	3015618.00	0.00	53684.00	6.98	33.82	19.33	18.79	0.00	0.00	0.00
1	3009315.00	0.00	17240.00	2.24	10.86	6.21	6.03	0.00	0.00	0.00
1	3030952.00	0.00	56088.00	7.29	35.34	20.19	19.63	0.00	0.00	0.00
1	3029245.00	0.00	4112.00	0.53	2.59	1.48	1.44	0.00	0.00	0.00
1	2975244.00	0.00	6051.00	0.79	3.81	2.18	2.12	0.00	0.00	0.00
1	2988043.00	0.00	16077.00	2.09	10.13	5.79	5.63	0.00	0.00	0.00
1	2978938.00	0.00	4933.00	0.64	3.11	1.78	1.73	0.00	0.00	0.00
1	2992350.00	0.00	10598.00	1.38	6.68	3.82	3.71	0.00	0.00	0.00
1	3019693.00	0.00	34039.00	4.42	21.44	12.25	11.91	0.00	0.00	0.00
1	3002537.00	0.00	26564.00	3.45	16.74	9.56	9.30	0.00	0.00	0.00
1	3004208.00	0.00	16163.00	2.10	10.18	5.82	5.66	0.00	0.00	0.00
1	3036097.00	0.00	12459.00	1.62	7.85	4.49	4.36	0.00	0.00	0.00
1	3029071.00	0.00	12750.00	1.66	8.03	4.59	4.46	0.00	0.00	0.00
1	2981080.00	0.00	18248.00	2.37	11.50	6.57	6.39	0.00	0.00	0.00
1	2977647.00	0.00	20829.00	2.71	13.12	7.50	7.29	0.00	0.00	0.00
1	2988689.00	0.00	47838.00	6.22	30.14	17.22	16.74	0.00	0.00	0.00
1	2976375.00	0.00	2668.00	0.35	1.68	0.96	0.93	0.00	0.00	0.00
1	2991366.00	0.00	84864.00	11.03	53.46	30.55	29.70	0.00	0.00	0.00
1	3015738.00	0.00	9093.00	1.18	5.73	3.27	3.18	0.00	0.00	0.00
1	2982860.00	0.00	11772.00	1.53	7.42	4.24	4.12	0.00	0.00	0.00
