NIVEL	CODIGO	DESTINO	POP ATENDIDA	Physicians	Nurses	OtherCadres	CommunityBased	MRIUnit	Mammography	Radiotherapy
1	6433030.00	0.00	48051.00	6.25	30.27	17.30	16.82	0.00	0.00	0.00
1	3020810.00	0.00	83169.00	10.81	52.40	29.94	29.11	0.00	0.00	0.00
1	2969257.00	0.00	34471.00	4.48	21.72	12.41	12.06	0.00	0.00	0.00
1	6434714.00	0.00	34639.00	4.50	21.82	12.47	12.12	0.00	0.00	0.00
1	6448666.00	0.00	362724.00	47.15	228.52	130.58	126.95	0.00	0.00	0.00
1	8290211.00	0.00	30735.00	4.00	19.36	11.06	10.76	0.00	0.00	0.00
1	3026222.00	0.00	68201.00	8.87	42.97	24.55	23.87	0.00	0.00	0.00
1	6448604.00	0.00	63708.00	8.28	40.14	22.93	22.30	0.00	0.00	0.00
1	3004468.00	0.00	128859.00	16.75	81.18	46.39	45.10	0.00	0.00	0.00
1	2967236.00	0.00	31971.00	4.16	20.14	11.51	11.19	0.00	0.00	0.00
1	2997279.00	0.00	27434.00	3.57	17.28	9.88	9.60	0.00	0.00	0.00
1	6616035.00	0.00	2812.00	0.37	1.77	1.01	0.98	0.00	0.00	0.00
1	3030645.00	0.00	28845.00	3.75	18.17	10.38	10.10	0.00	0.00	0.00
1	2988942.00	0.00	21725.00	2.82	13.69	7.82	7.60	0.00	0.00	0.00
1	2997123.00	0.00	10556.00	1.37	6.65	3.80	3.69	0.00	0.00	0.00
1	3027350.00	0.00	25725.00	3.34	16.21	9.26	9.00	0.00	0.00	0.00
1	6448610.00	0.00	9448.00	1.23	5.95	3.40	3.31	0.00	0.00	0.00
1	2983902.00	0.00	15036.00	1.95	9.47	5.41	5.26	0.00	0.00	0.00
1	6430795.00	0.00	12281.00	1.60	7.74	4.42	4.30	0.00	0.00	0.00
1	2980514.00	0.00	29894.00	3.89	18.83	10.76	10.46	0.00	0.00	0.00
1	2968073.00	0.00	15346.00	1.99	9.67	5.52	5.37	0.00	0.00	0.00
1	2973722.00	0.00	10891.00	1.42	6.86	3.92	3.81	0.00	0.00	0.00
1	6434143.00	0.00	25802.00	3.35	16.26	9.29	9.03	0.00	0.00	0.00
1	2980796.00	0.00	106526.00	13.85	67.11	38.35	37.28	0.00	0.00	0.00
1	2980324.00	0.00	90358.00	11.75	56.93	32.53	31.62	0.00	0.00	0.00
1	2981129.00	0.00	10286.00	1.34	6.48	3.70	3.60	0.00	0.00	0.00
1	2979642.00	0.00	35554.00	4.62	22.40	12.80	12.44	0.00	0.00	0.00
1	6456039.00	0.00	75762.00	9.85	47.73	27.27	26.52	0.00	0.00	0.00
1	2986183.00	0.00	8608.00	1.12	5.42	3.10	3.01	0.00	0.00	0.00
1	3037119.00	0.00	115597.00	15.03	72.83	41.61	40.46	0.00	0.00	0.00
1	3027632.00	0.00	1089.00	0.14	0.69	0.39	0.38	0.00	0.00	0.00
1	3017106.00	0.00	28391.00	3.69	17.89	10.22	9.94	0.00	0.00	0.00
1	2969628.00	0.00	2907.00	0.38	1.83	1.05	1.02	0.00	0.00	0.00
1	3003629.00	0.00	11542.00	1.50	7.27	4.16	4.04	0.00	0.00	0.00
1	6614652.00	0.00	12646.00	1.64	7.97	4.55	4.43	0.00	0.00	0.00
1	2975543.00	0.00	13179.00	1.71	8.30	4.74	4.61	0.00	0.00	0.00
1	2998347.00	0.00	20444.00	2.66	12.88	7.36	7.16	0.00	0.00	0.00
1	2977587.00	0.00	16904.00	2.20	10.65	6.09	5.92	0.00	0.00	0.00
1	3022154.00	0.00	11137.00	1.45	7.02	4.01	3.90	0.00	0.00	0.00
1	2974089.00	0.00	22156.00	2.88	13.96	7.98	7.75	0.00	0.00	0.00
1	2976533.00	0.00	2530.00	0.33	1.59	0.91	0.89	0.00	0.00	0.00
1	3026638.00	0.00	16112.00	2.09	10.15	5.80	5.64	0.00	0.00	0.00
1	3031183.00	0.00	186899.00	24.30	117.75	67.28	65.41	0.00	0.00	0.00
1	3016269.00	0.00	39460.00	5.13	24.86	14.21	13.81	0.00	0.00	0.00
1	2982966.00	0.00	20114.00	2.61	12.67	7.24	7.04	0.00	0.00	0.00
