NIVEL	CODIGO	DESTINO	POP ATENDIDA	Physicians	Nurses	OtherCadres	CommunityBased	MRIUnit	Mammography	Radiotherapy
1	3014856.00	0.00	521659.00	67.82	328.65	187.80	182.58	0.00	0.00	0.00
1	6454958.00	0.00	330662.00	42.99	208.32	119.04	115.73	0.00	0.00	0.00
1	3016702.00	0.00	58311.00	7.58	36.74	20.99	20.41	0.00	0.00	0.00
1	6618043.00	0.00	28904.00	3.76	18.21	10.41	10.12	0.00	0.00	0.00
1	3037352.00	0.00	11011.00	1.43	6.94	3.96	3.85	0.00	0.00	0.00
1	3003650.00	0.00	34344.00	4.46	21.64	12.36	12.02	0.00	0.00	0.00
1	3002357.00	0.00	536378.00	69.73	337.92	193.10	187.73	0.00	0.00	0.00
1	2980711.00	0.00	103184.00	13.41	65.01	37.15	36.11	0.00	0.00	0.00
1	2986891.00	0.00	227449.00	29.57	143.29	81.88	79.61	0.00	0.00	0.00
1	3029248.00	0.00	1165064.00	151.46	733.99	419.42	407.77	0.00	0.00	0.00
1	2980325.00	0.00	2157.00	0.28	1.36	0.78	0.75	0.00	0.00	0.00
1	6446679.00	0.00	40953.00	5.32	25.80	14.74	14.33	0.00	0.00	0.00
1	2988609.00	0.00	143777.00	18.69	90.58	51.76	50.32	0.00	0.00	0.00
1	3009193.00	0.00	88568.00	11.51	55.80	31.88	31.00	0.00	0.00	0.00
1	2977662.00	0.00	171356.00	22.28	107.95	61.69	59.97	0.00	0.00	0.00
1	3012282.00	0.00	363621.00	47.27	229.08	130.90	127.27	0.00	0.00	0.00
1	2980247.00	0.00	1513.00	0.20	0.95	0.54	0.53	0.00	0.00	0.00
1	3008116.00	0.00	33529.00	4.36	21.12	12.07	11.74	0.00	0.00	0.00
1	2992583.00	0.00	89160.00	11.59	56.17	32.10	31.21	0.00	0.00	0.00
1	3023576.00	0.00	97919.00	12.73	61.69	35.25	34.27	0.00	0.00	0.00
1	2974831.00	0.00	4822.00	0.63	3.04	1.74	1.69	0.00	0.00	0.00
1	2968290.00	0.00	23535.00	3.06	14.83	8.47	8.24	0.00	0.00	0.00
1	3007506.00	0.00	30600.00	3.98	19.28	11.02	10.71	0.00	0.00	0.00
1	3023736.00	0.00	23484.00	3.05	14.80	8.45	8.22	0.00	0.00	0.00
1	3010787.00	0.00	68907.00	8.96	43.41	24.81	24.12	0.00	0.00	0.00
1	3012406.00	0.00	3706.00	0.48	2.33	1.33	1.30	0.00	0.00	0.00
1	2981375.00	0.00	459596.00	59.75	289.55	165.45	160.86	0.00	0.00	0.00
1	3002132.00	0.00	10159.00	1.32	6.40	3.66	3.56	0.00	0.00	0.00
1	3001268.00	0.00	3431.00	0.45	2.16	1.24	1.20	0.00	0.00	0.00
1	8288944.00	0.00	9866.00	1.28	6.22	3.55	3.45	0.00	0.00	0.00
1	3003297.00	0.00	18581.00	2.42	11.71	6.69	6.50	0.00	0.00	0.00
1	2997384.00	0.00	89929.00	11.69	56.66	32.37	31.48	0.00	0.00	0.00
1	3037512.00	0.00	5400.00	0.70	3.40	1.94	1.89	0.00	0.00	0.00
1	2970408.00	0.00	37197.00	4.84	23.43	13.39	13.02	0.00	0.00	0.00
