NIVEL	CODIGO	DESTINO	POP ATENDIDA	Physicians	Nurses	OtherCadres	CommunityBased	MRIUnit	Mammography	Radiotherapy
1	2992292.00	0.00	75146.00	9.77	47.34	27.05	26.30	0.00	0.00	0.00
1	2972742.00	0.00	127476.00	16.57	80.31	45.89	44.62	0.00	0.00	0.00
1	6430196.00	0.00	112707.00	14.65	71.01	40.57	39.45	0.00	0.00	0.00
1	2969280.00	0.00	177942.00	23.13	112.10	64.06	62.28	0.00	0.00	0.00
1	3036016.00	0.00	50582.00	6.58	31.87	18.21	17.70	0.00	0.00	0.00
1	2979985.00	0.00	1483677.00	192.88	934.72	534.12	519.29	0.00	0.00	0.00
1	2983489.00	0.00	369099.00	47.98	232.53	132.88	129.18	0.00	0.00	0.00
1	2967166.00	0.00	44661.00	5.81	28.14	16.08	15.63	0.00	0.00	0.00
1	2970831.00	0.00	33987.00	4.42	21.41	12.24	11.90	0.00	0.00	0.00
1	3019238.00	0.00	473548.00	61.56	298.34	170.48	165.74	0.00	0.00	0.00
1	2993277.00	0.00	55628.00	7.23	35.05	20.03	19.47	0.00	0.00	0.00
1	3021729.00	0.00	14554.00	1.89	9.17	5.24	5.09	0.00	0.00	0.00
1	3027301.00	0.00	51390.00	6.68	32.38	18.50	17.99	0.00	0.00	0.00
1	2985290.00	0.00	71916.00	9.35	45.31	25.89	25.17	0.00	0.00	0.00
1	3015823.00	0.00	246420.00	32.03	155.24	88.71	86.25	0.00	0.00	0.00
1	2977350.00	0.00	472486.00	61.42	297.67	170.09	165.37	0.00	0.00	0.00
1	3007730.00	0.00	6458.00	0.84	4.07	2.32	2.26	0.00	0.00	0.00
1	6451052.00	0.00	260970.00	33.93	164.41	93.95	91.34	0.00	0.00	0.00
1	3025274.00	0.00	84090.00	10.93	52.98	30.27	29.43	0.00	0.00	0.00
1	2991179.00	0.00	8220.00	1.07	5.18	2.96	2.88	0.00	0.00	0.00
1	6430138.00	0.00	197355.00	25.66	124.33	71.05	69.07	0.00	0.00	0.00
1	2996874.00	0.00	35740.00	4.65	22.52	12.87	12.51	0.00	0.00	0.00
1	2971074.00	0.00	1577.00	0.20	0.99	0.57	0.55	0.00	0.00	0.00
1	2978623.00	0.00	3677.00	0.48	2.32	1.32	1.29	0.00	0.00	0.00
1	2994806.00	0.00	24932.00	3.24	15.71	8.98	8.73	0.00	0.00	0.00
1	2993323.00	0.00	9251.00	1.20	5.83	3.33	3.24	0.00	0.00	0.00
