# =========================================================
# Problema: Projeto de rede de especialistas 3 niveis
# Joao Flavio F. Almeida, 	<joao.flavio@dep.ufmg.br>
# Horacio Faria <horaciofaria@gmail.com>
# Leonardo <leomarie@gmail.com>
# Hugo Rodrigues <hugonr@gmail.com>
# Virginia 			<vmmagalhaes@nescon.medicina.ufmg.br>
# Data   : 01/02/2021
# Versao: 12.0: Estado (32 - Espirito Santo)
# ============================================================

data;

param Distmax:=
1 80  # 80
2 120 # + 120
3 200; # + 200

# Minimal population on destination municipality (j) 
param POPmin:=
1	0
# 2	10000
# 3	30000
# 2	2000
# 3	4000
2	13271	# Q1
3	21609	# Q2 
;

# param DurUpper:=
# 1 0.51 
# 2 1.0 
# 3 2.8; 

param DurUpper:=
1 0.51 
# 2 1.0 
# 3 1.5;
2 0.51 
3 1.1;

# Municipios selecionados que já possuem infraestrutura de nível 3
set S3:=
#	co_municipio	#	no_municipio	qtd_realizado
	320520	#	VILA VELHA	1331
	320530	#	VITORIA	1229
	320120	#	CACHOEIRO DE ITAPEMIRIM	926
	320320	#	LINHARES	738
	320150	#	COLATINA	546
;

# CODIGO	REGIAO	ESTADO	LAT	LONG	POPULACAO 2030	CAP	MUNICIPIO
param: I :	RE	ES	lat	lng	POP	INFR	Mun :=
320010	3	32	-20.077800	-41.126100	33133	0	'Afonso_Claudio'
320013	3	32	-18.984600	-40.743700	10411	1	'Aguia_Branca'
320016	3	32	-18.548200	-40.985400	12005	1	'Agua_Doce_Do_Norte'
320020	3	32	-20.758000	-41.538200	32969	0	'Alegre'
320030	3	32	-20.639600	-40.754300	15710	1	'Alfredo_Chaves'
320035	3	32	-19.061800	-41.020900	8411	1	'Alto_Rio_Novo'
320040	3	32	-20.795500	-40.642500	30993	0	'Anchieta'
320050	3	32	-21.152300	-41.569300	8175	0	'Apiaca'
320060	3	32	-19.820000	-40.276400	107105	0	'Aracruz'
320070	3	32	-20.913000	-41.198600	12689	0	'Atilio_Vivacqua'
320080	3	32	-19.521300	-41.010900	33286	0	'Baixo_Guandu'
320090	3	32	-18.754800	-40.896500	47796	0	'Barra_De_Sao_Francisco'
320100	3	32	-18.539500	-40.302500	16159	1	'Boa_Esperanca'
320110	3	32	-21.117300	-41.673100	10688	1	'Bom_Jesus_Do_Norte'
320115	3	32	-20.139500	-41.295400	13354	1	'Brejetuba'
320120	3	32	-20.846200	-41.119800	223609	0	'Cachoeiro_De_Itapemirim'
320130	3	32	-20.263200	-40.416500	408341	0	'Cariacica'
320140	3	32	-20.603300	-41.203100	40248	0	'Castelo'
320150	3	32	-19.549300	-40.626900	131130	0	'Colatina'
320160	3	32	-18.588300	-39.736200	33272	0	'Conceicao_Da_Barra'
320170	3	32	-20.363900	-41.241700	13631	0	'Conceicao_Do_Castelo'
320180	3	32	-20.622900	-41.693700	4679	1	'Divino_De_Sao_Lourenco'
320190	3	32	-20.360300	-40.659400	36359	0	'Domingos_Martins'
320200	3	32	-20.693100	-41.840500	7255	1	'Dores_Do_Rio_Preto'
320210	3	32	-18.370200	-40.836000	24822	0	'Ecoporanga'
320220	3	32	-19.937000	-40.407800	22715	1	'Fundao'
320225	3	32	-19.186400	-40.447300	13520	1	'Governador_Lindenberg'
320230	3	32	-20.766800	-41.673400	33011	0	'Guacui'
320240	3	32	-20.677200	-40.509300	132642	0	'Guarapari'
320245	3	32	-20.234700	-41.508700	27753	0	'Ibatiba'
320250	3	32	-19.836600	-40.373200	13336	1	'Ibiracu'
320255	3	32	-20.546600	-41.666700	9620	1	'Ibitirama'
320260	3	32	-20.791300	-40.813200	14825	0	'Iconha'
320265	3	32	-20.350100	-41.644400	14265	1	'Irupi'
320270	3	32	-19.801800	-40.860100	15217	1	'Itaguacu'
320280	3	32	-21.009500	-40.830700	36705	0	'Itapemirim'
320290	3	32	-19.875000	-40.875300	11453	0	'Itarana'
320300	3	32	-20.353100	-41.533400	31310	0	'Iuna'
320305	3	32	-18.907000	-40.075900	32253	1	'Jaguare'
320310	3	32	-20.799400	-41.394800	12666	0	'Jeronimo_Monteiro'
320313	3	32	-19.757700	-40.386000	17919	0	'Joao_Neiva'
320316	3	32	-19.899400	-41.062100	11822	0	'Laranja_Da_Terra'
320320	3	32	-19.394600	-40.064300	183746	0	'Linhares'
320330	3	32	-18.859400	-41.124000	16387	1	'Mantenopolis'
320332	3	32	-21.039800	-40.838400	41101	1	'Marataizes'
320334	3	32	-20.415900	-40.670000	17757	1	'Marechal_Floriano'
320335	3	32	-19.411400	-40.545600	13698	1	'Marilandia'
320340	3	32	-21.062800	-41.361500	28248	0	'Mimoso_Do_Sul'
320350	3	32	-18.130300	-40.366800	20244	0	'Montanha'
320360	3	32	-18.096500	-40.520000	5988	1	'Mucurici'
320370	3	32	-20.465200	-41.415600	18996	0	'Muniz_Freire'
320380	3	32	-20.950900	-41.346000	16577	0	'Muqui'
320390	3	32	-18.715000	-40.405300	53690	0	'Nova_Venecia'
320400	3	32	-19.222900	-40.853400	24870	0	'Pancas'
