# =========================================================
# Problema: Projeto de rede de especialistas 3 niveis
# Joao Flavio F. Almeida, 	<joao.flavio@dep.ufmg.br>
# Horacio Faria <horaciofaria@gmail.com>
# Leonardo <leomarie@gmail.com>
# Hugo Rodrigues <hugonr@gmail.com>
# Virginia 			<vmmagalhaes@nescon.medicina.ufmg.br>
# Data   : 01/02/2021
# Versao: 12.0: Estado (42 - Santa Catarina)
# ==========================================================

data;

param Distmax:=
1 80  # 80
2 140 # + 120
3 200; # + 200

# Minimal population on destination municipality (j) 
param POPmin:=
1	0
2	10000
3	30000
;

param DurUpper:=
1 0.51 
2 2.0 
3 2.4; 


# Municipios selecionados que já possuem infraestrutura de nível 3
set S3:=
#	co_municipio	#	no_municipio	qtd_realizado
	421660	#	SAO JOSE	1643
	420910	#	JOINVILLE	1293
	420820	#	ITAJAI	1206
	421950	#	XANXERE	1140
	420240	#	BLUMENAU	1070
	420540	#	FLORIANOPOLIS	699
	421870	#	TUBARAO	606
	420460	#	CRICIUMA	605
	421480	#	RIO DO SUL	449
	421010	#	MAFRA	333
	420930	#	LAGES	288
	420890	#	JARAGUA DO SUL	20
	420420	#	CHAPECO	12
	/* 420430	#	CONCORDIA	5 */
	/* 420480	#	CURITIBANOS	4 */
	/* 420850	#	ITUPORANGA	4 */
	420300	#	CACADOR	2
	/* 420900	#	JOACABA	2 */
	/* 421050	#	MARAVILHA	2 */
	/* 420290	#	BRUSQUE	1 */
	421580	#	SAO BENTO DO SUL	1
;


# CODIGO	REGIAO	ESTADO	LAT	LONG	POPULACAO 2018	CAP	MUNICIPIO
param: I :	RE	ES	lat	lng	POP	INFR	Mun :=
420005	4	42	-27.61	-51.03	2577	1	'Abdon_Batista'
420010	4	42	-26.56	-52.34	17847	0	'Abelardo_Luz'
420020	4	42	-27.40	-49.83	10711	0	'Agrolandia'
420030	4	42	-27.27	-49.72	5385	1	'Agronomica'
420040	4	42	-27.00	-51.56	7138	0	'Agua_Doce'
420050	4	42	-27.08	-52.99	6455	1	'Aguas_De_Chapeco'
420055	4	42	-26.88	-52.86	2378	1	'Aguas_Frias'
420060	4	42	-27.71	-48.84	6378	1	'Aguas_Mornas'
420070	4	42	-27.71	-49.34	9984	0	'Alfredo_Wagner'
420075	4	42	-27.43	-51.91	1948	1	'Alto_Bela_Vista'
420080	4	42	-26.54	-53.33	5721	1	'Anchieta'
420090	4	42	-27.58	-48.98	4860	0	'Angelina'
420100	4	42	-27.68	-51.13	7313	0	'Anita_Garibaldi'
420110	4	42	-27.91	-49.13	3236	0	'Anitapolis'
420120	4	42	-27.51	-48.76	8411	1	'Antonio_Carlos'
420125	4	42	-27.04	-49.39	10636	1	'Apiuna'
420127	4	42	-27.16	-52.15	4266	0	'Arabuta'
420130	4	42	-26.38	-48.69	36710	1	'Araquari'
420140	4	42	-28.94	-49.48	67578	0	'Ararangua'
420150	4	42	-28.26	-49.01	8587	0	'Armazem'
420160	4	42	-26.93	-51.33	3551	0	'Arroio_Trinta'
420165	4	42	-27.07	-52.46	2246	1	'Arvoredo'
420170	4	42	-26.95	-49.39	7889	1	'Ascurra'
420180	4	42	-27.42	-49.78	3226	1	'Atalanta'
420190	4	42	-27.30	-49.64	5676	1	'Aurora'
420195	4	42	-28.98	-49.41	12705	1	'Balneario_Arroio_Do_Silva'
420200	4	42	-26.99	-48.63	138732	0	'Balneario_Camboriu'
420205	4	42	-26.46	-48.61	10550	1	'Balneario_Barra_Do_Sul'
420207	4	42	-29.16	-49.59	10692	1	'Balneario_Gaivota'
420208	4	42	-26.77	-53.64	2708	1	'Bandeirante'
420209	4	42	-26.65	-53.44	1704	1	'Barra_Bonita'
420210	4	42	-26.63	-48.68	28463	1	'Barra_Velha'
420213	4	42	-26.28	-50.46	6311	1	'Bela_Vista_Do_Toldo'
420215	4	42	-26.84	-53.58	2703	1	'Belmonte'
420220	4	42	-26.78	-49.36	11526	0	'Benedito_Novo'
420230	4	42	-27.49	-48.65	67458	0	'Biguacu'
420240	4	42	-26.92	-49.06	352460	0	'Blumenau'
420243	4	42	-27.74	-49.95	3460	1	'Bocaina_Do_Sul'
420245	4	42	-27.14	-48.52	19193	1	'Bombinhas'
420250	4	42	-28.34	-49.62	4712	0	'Bom_Jardim_Da_Serra'
420253	4	42	-26.74	-52.39	2961	1	'Bom_Jesus'
420257	4	42	-26.69	-53.10	2146	1	'Bom_Jesus_Do_Oeste'
420260	4	42	-27.80	-49.49	9870	0	'Bom_Retiro'
420270	4	42	-27.20	-49.08	5169	1	'Botuvera'
420280	4	42	-28.28	-49.16	33016	0	'Braco_Do_Norte'
420285	4	42	-27.36	-49.89	3718	1	'Braco_Do_Trombudo'
420287	4	42	-27.32	-50.84	2473	1	'Brunopolis'
420290	4	42	-27.10	-48.92	131703	0	'Brusque'
420300	4	42	-26.78	-51.02	77863	0	'Cacador'
420310	4	42	-27.07	-53.25	6167	0	'Caibi'
420315	4	42	-26.60	-51.10	3357	1	'Calmon'
420320	4	42	-27.03	-48.65	80834	0	'Camboriu'
420325	4	42	-27.94	-50.51	2556	1	'Capao_Alto'
420330	4	42	-26.19	-49.26	11974	0	'Campo_Alegre'
420340	4	42	-27.90	-50.76	7081	0	'Campo_Belo_Do_Sul'
420350	4	42	-26.39	-53.09	8636	0	'Campo_Ere'
420360	4	42	-27.40	-51.22	35930	0	'Campos_Novos'
420370	4	42	-27.27	-48.79	12080	0	'Canelinha'
420380	4	42	-26.18	-50.40	54319	0	'Canoinhas'
420390	4	42	-27.34	-51.61	22658	0	'Capinzal'
420395	4	42	-28.45	-48.96	24559	1	'Capivari_De_Baixo'
420400	4	42	-27.07	-51.66	10735	0	'Catanduvas'
420410	4	42	-27.16	-52.88	3735	0	'Caxambu_Do_Sul'
420415	4	42	-27.63	-51.34	2738	1	'Celso_Ramos'
420417	4	42	-27.80	-50.87	3181	1	'Cerro_Negro'
420419	4	42	-27.59	-49.54	2969	1	'Chapadao_Do_Lageado'
420420	4	42	-27.11	-52.62	216654	0	'Chapeco'
420425	4	42	-28.60	-49.33	16544	1	'Cocal_Do_Sul'
420430	4	42	-27.23	-52.02	74106	0	'Concordia'
420435	4	42	-26.99	-52.60	4385	1	'Cordilheira_Alta'
420440	4	42	-26.90	-52.71	10022	0	'Coronel_Freitas'
420445	4	42	-26.51	-52.67	2544	1	'Coronel_Martins'
420450	4	42	-26.43	-49.23	15709	1	'Corupa'
420455	4	42	-27.58	-50.36	13040	1	'Correia_Pinto'
420460	4	42	-28.67	-49.37	213023	0	'Criciuma'
420470	4	42	-26.89	-53.17	11053	0	'Cunha_Pora'
420475	4	42	-26.97	-53.09	1957	1	'Cunhatai'
420480	4	42	-27.28	-50.58	39595	0	'Curitibanos'
420490	4	42	-26.82	-53.50	8308	0	'Descanso'
420500	4	42	-26.27	-53.63	15450	0	'Dionisio_Cerqueira'
420510	4	42	-26.99	-49.72	4105	1	'Dona_Emma'
