NIVEL,CODIGO,DESTINO,COD_ESP,RECURSO,POP ATENDIDA,ATEND_FTE
1,3227183,Ajaccio,1,Physicians,94590,12.30
1,3227183,Ajaccio,2,Nurses,94590,59.59
1,3227183,Ajaccio,3,OtherCadres,94590,34.05
1,3227183,Ajaccio,4,CommunityBased,94590,33.11
1,3227183,Ajaccio,5,Beds,94590,0.00
1,3227183,Ajaccio,6,CTScanner,94590,0.00
1,3227183,Ajaccio,7,MRIUnit,94590,0.00
1,3227183,Ajaccio,8,Mammography,94590,0.00
1,3227183,Ajaccio,9,Radiotherapy,94590,0.00
1,2985947,Porto-Vecchio,1,Physicians,19975,2.60
1,2985947,Porto-Vecchio,2,Nurses,19975,12.58
1,2985947,Porto-Vecchio,3,OtherCadres,19975,7.19
1,2985947,Porto-Vecchio,4,CommunityBased,19975,6.99
1,2985947,Porto-Vecchio,5,Beds,19975,0.00
1,2985947,Porto-Vecchio,6,CTScanner,19975,0.00
1,2985947,Porto-Vecchio,7,MRIUnit,19975,0.00
1,2985947,Porto-Vecchio,8,Mammography,19975,0.00
1,2985947,Porto-Vecchio,9,Radiotherapy,19975,0.00
1,2988658,Corte,1,Physicians,7468,0.97
1,2988658,Corte,2,Nurses,7468,4.70
1,2988658,Corte,3,OtherCadres,7468,2.69
1,2988658,Corte,4,CommunityBased,7468,2.61
1,2988658,Corte,5,Beds,7468,0.00
1,2988658,Corte,6,CTScanner,7468,0.00
1,2988658,Corte,7,MRIUnit,7468,0.00
1,2988658,Corte,8,Mammography,7468,0.00
1,2988658,Corte,9,Radiotherapy,7468,0.00
1,6431189,Oletta,1,Physicians,85328,11.09
1,6431189,Oletta,2,Nurses,85328,53.76
1,6431189,Oletta,3,OtherCadres,85328,30.72
1,6431189,Oletta,4,CommunityBased,85328,29.86
1,6431189,Oletta,5,Beds,85328,0.00
1,6431189,Oletta,6,CTScanner,85328,0.00
1,6431189,Oletta,7,MRIUnit,85328,0.00
1,6431189,Oletta,8,Mammography,85328,0.00
